#           M   M*dndlnm_    dndlnm_j     f(sig)_  lnsigma_j    neff_j       ngtm_       nltm_   sigma_j
  7.94328e+10 2.44164e+09 3.07384e-02 2.74709e-01  -1.014919 -2.288369 3.34294e-02 8.10069e+05  2.759141
  8.91251e+10 2.46499e+09 2.76577e-02 2.75129e-01  -1.001212 -2.282658 3.00678e-02 8.10069e+05  2.721577
  1.00000e+11 2.49054e+09 2.49054e-02 2.75544e-01  -0.987386 -2.276316 2.70421e-02 8.10069e+05  2.684209
  1.12202e+11 2.51329e+09 2.23997e-02 2.75954e-01  -0.973446 -2.270791 2.43190e-02 8.10069e+05  2.647050
  1.25893e+11 2.53850e+09 2.01641e-02 2.76356e-01  -0.959395 -2.264547 2.18688e-02 8.10069e+05  2.610117
  1.41254e+11 2.56440e+09 1.81545e-02 2.76751e-01  -0.945220 -2.258104 1.96630e-02 8.10069e+05  2.573380
  1.58489e+11 2.58773e+09 1.63275e-02 2.77135e-01  -0.930931 -2.252392 1.76780e-02 8.10069e+05  2.536870
  1.77828e+11 2.61437e+09 1.47017e-02 2.77508e-01  -0.916523 -2.245714 1.58919e-02 8.10069e+05  2.500580
  1.99526e+11 2.63998e+09 1.32312e-02 2.77869e-01  -0.901985 -2.239312 1.42839e-02 8.10069e+05  2.464491
  2.23872e+11 2.66463e+09 1.19025e-02 2.78215e-01  -0.887332 -2.233165 1.28371e-02 8.10069e+05  2.428643
  2.51189e+11 2.69234e+09 1.07184e-02 2.78545e-01  -0.872551 -2.226107 1.15349e-02 8.10069e+05  2.393008
  2.81838e+11 2.71724e+09 9.64113e-03 2.78855e-01  -0.857639 -2.219819 1.03630e-02 8.10069e+05  2.357587
  3.16228e+11 2.74361e+09 8.67604e-03 2.79145e-01  -0.842606 -2.213067 9.30854e-03 8.10069e+05  2.322411
  3.54813e+11 2.77169e+09 7.81168e-03 2.79412e-01  -0.827435 -2.205770 8.35943e-03 8.10069e+05  2.287445
  3.98107e+11 2.79627e+09 7.02391e-03 2.79652e-01  -0.812134 -2.199417 7.50542e-03 8.10069e+05  2.252711
  4.46684e+11 2.82399e+09 6.32213e-03 2.79864e-01  -0.796704 -2.192090 6.73716e-03 8.10069e+05  2.218217
  5.01187e+11 2.85154e+09 5.68957e-03 2.80044e-01  -0.781129 -2.184732 6.04571e-03 8.10069e+05  2.183937
  5.62341e+11 2.87637e+09 5.11498e-03 2.80188e-01  -0.765424 -2.178058 5.42375e-03 8.10069e+05  2.149905
  6.30957e+11 2.90478e+09 4.60376e-03 2.80294e-01  -0.749578 -2.170253 4.86430e-03 8.10069e+05  2.116107
  7.07946e+11 2.93083e+09 4.13990e-03 2.80356e-01  -0.733584 -2.162999 4.36097e-03 8.10069e+05  2.082531
